"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26217","@API API Place the Order!","chromium","2025-12-11","passed","2025-12-11","","NetworkTest.spec.js","",""
"","25713","@API API Place the Order!","chromium","2025-12-11","passed","2025-12-11","","WebAPIPart1.spec.js","",""
